Episode,Average Reward,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
1,-14.656499999998413,2971.4444444444443,56,32,0,88
2,-24.20549999999856,2979.9,37,37,0,74
3,-30.243999999998756,2840.9,36,29,2,65
4,-24.60524999999829,2735.7368421052633,45,29,7,74
5,3.023250000004399,2311.9375,110,15,1,125
6,-29.509499999998447,2326.294117647059,41,37,1,78
7,2.757000000002704,3059.294117647059,109,28,1,137
8,-16.033749999998847,2445.823529411765,52,29,1,81
9,-0.9414999999961662,4642.263157894737,98,27,1,125
10,-15.020749999998918,2326.4117647058824,67,20,3,87
11,-14.556499999997996,4359.2,82,18,2,100
12,-4.0447499999981655,2939.6666666666665,62,32,4,94
13,-24.801249999999087,2165.7,26,24,2,50
14,-28.02549999999951,2175.0,27,40,0,67
15,-4.136749999998326,2923.6315789473683,53,23,0,76
16,-14.515499999998998,2631.5,33,33,0,66
17,-25.169999999998065,2481.0555555555557,68,36,5,104
18,-18.276249999998697,2309.5789473684213,38,28,1,66
19,-12.086999999998966,2637.5,41,29,2,70
20,-21.320749999999155,2581.6,28,27,6,55
21,14.670000000003327,3962.157894736842,91,20,1,111
22,19.809750000002328,5041.8,101,23,2,124
23,-17.474499999998855,1934.2941176470588,32,23,3,55
24,-9.108749999999107,2500.4375,60,34,1,94
25,-19.938249999999137,2158.45,26,25,1,51
26,-8.92949999999762,3223.6666666666665,65,17,3,82
27,-11.6584999999996,2555.2631578947367,38,29,22,67
28,-3.2194999999983778,3033.2105263157896,63,13,0,76
29,-30.338499999999236,2275.4210526315787,26,29,4,55
30,4.069250000002832,3771.6315789473683,84,16,0,100
31,-25.20324999999809,1993.0588235294117,48,27,1,75
32,-20.599499999998706,2655.375,40,23,3,63
33,-22.836749999999427,2302.0555555555557,40,27,1,67
34,10.48300000000241,5125.15,105,15,0,120
35,-15.503749999998737,2761.6,38,29,2,67
36,-4.583249999998167,4260.95,67,41,0,108
37,-12.411249999998613,1964.8125,73,40,1,113
38,-4.199249999999217,2354.222222222222,65,26,10,91
39,-11.958749999997224,2064.8333333333335,56,31,3,87
40,-5.998999999997756,3802.684210526316,87,18,3,105
41,-7.354499999998138,3879.05,76,19,1,95
42,14.811250000002701,3053.4444444444443,75,29,4,104
43,-15.246999999997673,3595.75,72,17,1,89
44,-26.68374999999937,2040.15,24,26,0,50
45,-12.593249999998868,2612.35,38,25,0,63
46,10.715000000003467,3272.294117647059,102,12,4,114
47,-25.403499999998136,3843.4210526315787,75,37,0,112
48,0.8205000000021563,4167.25,70,31,2,101
49,-23.894749999996986,2174.222222222222,51,30,3,81
50,-5.954499999997843,2769.823529411765,69,21,4,90
51,-9.61474999999783,2673.125,70,22,2,92
52,-17.773999999998505,2604.4736842105262,45,21,0,66
53,-13.401249999998907,2479.470588235294,37,24,2,61
54,5.353250000001465,3286.222222222222,70,26,1,96
55,-4.6964999999978705,3664.95,83,10,1,93
56,-30.20724999999939,2100.55,24,27,3,51
57,-12.26424999999868,2670.35,40,27,0,67
58,18.45725000000231,4354.6,94,15,1,109
59,-0.7487499999973218,4804.5,100,15,3,115
60,-5.065249999998783,3198.9,53,26,0,79
61,-20.933499999998936,2699.0,40,23,1,63
62,-38.66249999999984,1429.0,0,39,0,39
63,-8.883499999997998,3067.5882352941176,74,34,2,108
64,-13.317249999997102,3964.75,62,39,2,101
65,-15.454749999999038,2750.75,42,35,4,77
66,-24.07924999999895,2087.294117647059,63,29,0,92
67,-17.774249999998506,2671.8571428571427,58,29,5,87
68,-14.519249999998365,2491.684210526316,41,29,0,70
69,-7.692999999998473,2339.75,53,29,5,82
70,-9.133499999998506,2223.6875,76,36,0,112
71,-22.797999999999256,2048.05,26,18,7,44
72,-24.143499999998873,2628.25,40,23,0,63
73,-3.821999999998495,3619.684210526316,79,19,2,98
74,-10.890749999998627,2304.0625,65,23,0,88
75,-4.541499999996771,2447.764705882353,80,24,2,104
76,-24.019749999998034,1964.3333333333333,41,33,5,74
77,6.240000000002228,3752.1,73,21,0,94
78,-40.99175000000011,2057.2105263157896,26,28,26,54
79,-21.16874999999886,2623.0714285714284,42,26,2,68
80,-1.0597499999983762,3119.5,53,24,2,77
81,-20.85349999999692,4531.5,96,13,0,109
82,5.303000000002595,2991.176470588235,106,29,7,135
83,-23.12849999999806,2414.1875,51,33,3,84
84,-16.53774999999822,2980.4444444444443,63,22,5,85
85,-18.95149999999861,3140.9,48,27,2,75
86,-27.348749999998923,2170.8947368421054,23,34,0,57
87,-30.50849999999996,2480.0,42,23,23,65
88,-5.415749999997939,3011.764705882353,75,34,3,109
89,10.643750000001244,3206.9444444444443,74,36,0,110
90,-18.558999999999,2580.9375,36,23,1,59
91,-5.382999999997921,2968.75,68,23,3,91
92,5.551500000002266,3441.4444444444443,86,15,2,101
93,-35.28224999999964,1429.0,18,26,2,44
94,-10.606749999999144,2779.6,39,20,3,59
95,3.0157500000020665,3627.65,76,15,2,91
96,-15.898999999999177,2211.6470588235293,53,36,4,89
97,-31.09649999999643,2613.1176470588234,81,33,3,114
98,-11.783499999998964,2443.222222222222,58,41,0,99
99,-30.226249999999272,2204.45,25,25,2,50
100,1.5750000000023445,3726.5263157894738,77,26,1,103
101,-16.701749999998036,3204.65,56,20,1,76
102,-13.893499999998856,2607.470588235294,40,19,2,59
103,-15.325499999997751,1963.1176470588234,64,23,11,87
104,-9.794999999999234,2681.125,37,19,8,56
105,-12.105249999999028,2545.125,43,35,1,78
106,-37.78549999999941,2336.6470588235293,38,53,1,91
107,-33.36099999999965,1429.0,32,41,3,73
108,-13.156499999998223,2941.705882352941,68,34,1,102
109,-20.853999999999427,2040.1,21,26,2,47
110,-14.86249999999787,4429.1,71,39,0,110
111,7.828500000002153,4078.2631578947367,83,17,6,100
112,-24.015749999998864,2663.6666666666665,62,23,19,85
113,-1.179999999997134,5433.05,112,23,0,135
114,-27.480499999998926,2117.4736842105262,24,25,6,49
115,-16.486249999998723,2512.6315789473683,39,22,3,61
116,-14.216499999998652,2507.722222222222,47,31,0,78
117,-9.714749999998602,3205.35,50,34,1,84
118,-20.09024999999882,2536.35,36,23,3,59
119,26.897500000004403,4200.0,109,21,0,130
120,0.534000000001618,3621.315789473684,84,33,3,117
121,-18.714999999998767,2572.0,39,28,2,67
122,-24.78324999999974,1991.2631578947369,33,23,4,56
123,-28.86149999999912,2059.7894736842104,24,28,3,52
124,-13.922249999998773,2304.125,74,38,4,112
125,-9.832499999998474,3130.75,61,18,0,79
126,-32.39374999999926,1946.2941176470588,38,23,9,61
127,-16.905249999998887,2400.6,47,37,2,84
128,-10.533249999997556,4012.315789473684,79,33,2,112
129,6.738000000001814,2621.8571428571427,61,26,2,87
130,-5.295249999998926,2638.0,75,33,5,108
131,-27.299249999997965,3666.4,64,27,2,91
132,12.729750000003914,3612.9411764705883,115,20,0,135
133,-33.63674999999938,1429.0,15,29,5,44
134,-30.846749999998906,1978.625,37,40,11,77
135,-10.026749999998229,2517.823529411765,64,25,1,89
