Episode,Average Reward,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
1,21.576250000000883,4129.210526315789,61,34,0,95
2,-11.934499999999272,2543.4,30,26,0,56
3,2.3967500000010538,3237.75,45,25,0,70
4,-9.481999999999278,2661.315789473684,39,24,1,63
5,-12.222249999999317,3274.3,39,23,0,62
6,11.483000000000901,2714.8125,63,41,0,104
7,-6.376249999999475,2457.277777777778,42,29,1,71
8,25.724000000001933,5119.55,83,19,0,102
9,-3.5139999999995055,2543.0588235294117,38,27,3,65
10,8.131000000000368,2722.777777777778,66,37,2,103
11,-25.96074999999983,2019.6842105263158,19,26,4,45
12,-12.141999999999081,2467.4736842105262,34,23,2,57
13,13.104000000000841,3894.9,56,24,0,80
14,28.76900000000159,5002.25,77,19,0,96
15,0.8812500000010208,4483.722222222222,60,35,0,95
16,-10.11924999999971,2636.2631578947367,32,30,9,62
17,-9.349999999999403,2525.157894736842,39,20,0,59
18,9.790000000001289,4333.8333333333335,55,28,0,83
19,-24.352749999999226,2604.5263157894738,24,36,0,60
20,9.864250000001595,2248.823529411765,49,25,2,74
21,17.769250000001172,2929.9444444444443,57,19,2,76
22,3.96700000000081,2862.0,52,13,3,65
23,12.205750000000991,3166.3888888888887,56,20,2,76
24,-1.396749999999239,2447.5555555555557,41,28,3,69
25,25.271750000001074,4577.789473684211,71,26,1,97
26,14.152000000000566,2958.529411764706,63,23,1,86
27,-18.72024999999949,2544.15,37,16,3,53
28,-9.521999999999792,1875.5,40,43,1,83
29,-6.200749999999533,2297.1052631578946,31,23,0,54
30,21.03250000000177,4419.65,67,23,3,90
31,-11.629500000000174,1897.3333333333333,27,37,1,64
32,2.414500000000918,2491.6666666666665,41,22,0,63
33,3.829750000001438,2860.4117647058824,53,22,1,75
34,19.170250000001122,3429.176470588235,68,16,0,84
35,-8.781249999999451,1429.0,35,32,0,67
36,-14.494749999999403,2022.5555555555557,28,34,3,62
37,-6.266249999999557,1920.2777777777778,35,34,3,69
38,-8.839499999999308,2591.0,34,23,0,57
39,-1.500249999998775,2294.6470588235293,41,24,1,65
40,-0.15499999999902503,3846.55,49,30,0,79
41,21.09625000000148,4163.95,69,30,0,99
42,14.29050000000124,2434.0,53,17,2,70
43,-16.979749999999953,3821.85,38,34,0,72
44,13.804000000001912,4008.5,64,25,0,89
45,-11.272749999999391,2579.315789473684,35,26,0,61
46,4.4750000000012005,2751.176470588235,55,24,2,79
47,3.3227500000010304,2857.875,61,28,0,89
48,-10.067499999999129,2578.1666666666665,39,22,1,61
49,27.44700000000148,4199.0,77,15,0,92
50,4.710250000000499,2063.9411764705883,49,27,1,76
51,-13.488749999999442,2510.0526315789475,33,24,12,57
52,-20.266499999999205,2674.35,27,29,2,56
53,-22.704749999999336,2270.3529411764707,37,26,14,63
54,36.05525000000081,3465.1666666666665,78,23,1,101
55,-2.9309999999995684,2957.9473684210525,47,25,1,72
56,-19.832749999999784,2048.1,19,30,0,49
57,8.886750000001317,2786.25,61,29,0,90
58,0.6887500000006745,2491.5625,48,34,0,82
59,27.57550000000115,2971.5,59,21,0,80
60,27.888250000000586,2908.375,85,28,0,113
61,19.428500000001883,4202.9,72,29,3,101
62,-22.022749999999863,1963.7368421052631,18,29,2,47
63,-18.81224999999848,2051.823529411765,38,29,2,67
64,-5.415749999999422,2544.2,30,22,4,52
65,-2.9747499999996534,2381.5,47,39,1,86
66,2.381750000000544,2874.75,39,31,1,70
67,4.370750000001802,4133.8,59,22,1,81
68,-9.474249999999063,2775.3333333333335,33,28,1,61
69,-17.71424999999979,2028.25,18,25,2,43
70,-11.67524999999807,3635.4,63,18,0,81
71,-3.1842499999990848,3064.0,47,19,0,66
72,15.709500000000883,3095.85,51,27,0,78
73,14.34925000000143,3584.0,62,16,0,78
74,17.998250000000716,2687.5,71,25,3,96
75,-21.994249999999845,1952.0526315789473,16,25,9,41
76,39.807500000004175,3408.5882352941176,123,36,2,159
77,13.546750000001532,3817.95,61,22,1,83
78,-6.591499999999442,1736.235294117647,25,33,1,58
79,-16.81399999999968,2579.777777777778,32,32,3,64
80,-2.5049999999990633,3136.3,49,20,0,69
81,-12.071749999999401,2627.55,35,22,1,57
82,16.36150000000094,3979.85,55,25,0,80
83,-20.37099999999966,1967.0526315789473,20,28,3,48
84,-19.706499999999952,2019.7894736842106,20,27,18,47
85,1.5787500000012369,3727.6,61,23,0,84
86,33.60950000000021,2372.0666666666666,69,27,0,96
87,-9.090999999999276,2601.9444444444443,32,26,3,58
88,-5.177999999998905,2428.9411764705883,36,24,0,60
89,6.398250000001335,3048.1,55,18,0,73
90,-7.492749999999004,2504.705882352941,32,30,0,62
91,-28.09649999999972,1967.842105263158,17,23,3,40
92,-4.673249999999316,2003.1764705882354,55,33,6,88
93,-0.4349999999989939,2449.3888888888887,36,32,1,68
94,-11.177999999999878,1924.8823529411766,26,26,9,52
95,20.92500000000131,5022.8,78,21,0,99
96,-4.516749999999156,2464.9375,48,33,1,81
97,34.083250000003154,2979.75,86,11,5,97
98,-3.728499999999616,2123.5625,30,26,4,56
99,27.379000000001827,3487.277777777778,89,18,3,107
100,-11.836249999998909,1893.25,38,36,0,74
101,1.8112500000006033,2857.6666666666665,47,21,0,68
102,-15.765749999998656,2580.8333333333335,34,24,3,58
103,23.083000000002308,5576.75,88,19,0,107
104,4.07925000000119,2500.9411764705883,61,16,0,77
105,4.514000000001219,3094.2631578947367,52,23,0,75
106,9.4910000000007,3282.9473684210525,51,30,0,81
107,-0.6907499999986534,3149.9473684210525,48,17,0,65
108,-14.279249999999308,2524.3333333333335,32,25,0,57
109,14.175500000000705,2619.625,71,32,1,103
110,9.014750000000765,3186.3,53,19,0,72
111,9.33350000000144,2643.3125,62,16,1,78
112,24.968750000001016,3731.4210526315787,73,19,0,92
113,7.436750000001297,2242.5,53,24,0,77
114,1.3870000000023672,3838.277777777778,72,25,3,97
115,16.701250000001036,3885.45,54,27,0,81
116,1.7015000000009954,3048.3,46,19,1,65
117,-13.862249999999623,2780.65,35,25,0,60
118,-16.943000000000108,2610.3529411764707,39,25,20,64
119,-14.250999999999205,2611.315789473684,30,27,0,57
120,-4.239499999999784,2933.4444444444443,44,24,3,68
121,-7.568499999999257,2505.266666666667,38,24,1,62
122,-15.215499999999826,2084.277777777778,28,30,2,58
123,-13.676500000000285,1429.0,24,47,3,71
124,3.758000000001515,3694.3,59,23,0,82
125,4.617000000001698,4418.0,69,24,1,93
126,20.07450000000183,4614.0,79,18,0,97
127,0.6092500000007786,2436.1666666666665,39,19,0,58
128,15.342500000000973,3702.95,63,26,1,89
129,-19.820749999999567,2040.2,19,30,0,49
130,10.784000000001331,2408.25,48,23,2,71
131,11.242750000001074,4654.45,75,18,0,93
132,34.416250000002705,3114.470588235294,82,30,1,112
133,23.07200000000125,3170.5882352941176,64,21,1,85
134,17.924250000002043,3145.1666666666665,70,18,0,88
135,7.121250000002019,4343.4,70,19,0,89
136,-20.520499999998982,2454.157894736842,25,27,4,52
137,6.977750000001372,2819.9375,58,22,1,80
138,-8.68849999999955,2593.133333333333,41,28,14,69
139,37.994750000001254,3756.823529411765,85,18,0,103
140,-4.939999999999786,2590.1,33,29,0,62
141,-8.893499999999467,2686.1875,33,25,1,58
142,9.47475000000179,4687.15,85,14,0,99
143,-23.00899999999901,2670.35,25,37,0,62
144,-2.437249999998988,3263.95,53,16,0,69
145,-8.703249999999237,2687.5,35,39,0,74
146,-2.268249999999086,3156.1,43,29,0,72
147,-22.07500000000009,1429.0,22,23,12,45
148,23.403250000001442,4916.35,69,24,0,93
149,12.785000000001855,4622.75,55,24,2,79
150,7.739500000000449,2623.8888888888887,55,26,0,81
151,32.12400000000135,4187.1,69,21,0,90
152,13.12500000000062,3673.842105263158,66,20,0,86
153,-14.923499999998871,2048.0,42,27,0,69
154,-28.932499999999173,2901.9473684210525,36,34,5,70
155,1.276250000000373,2524.4,33,29,0,62
156,21.61200000000126,3905.315789473684,78,24,1,102
157,-21.07399999999958,2019.6842105263158,14,32,0,46
158,-15.22624999999876,2215.3076923076924,36,23,0,59
159,0.6345000000012326,4286.222222222222,63,34,1,97
160,-3.0664999999999587,5092.277777777778,44,33,1,77
161,-7.961999999999028,2089.75,41,27,0,68
162,62.15450000000194,3420.125,96,30,1,126
163,12.333250000000362,3004.0,73,30,1,103
164,-14.537249999999435,2660.0,33,19,3,52
165,17.278250000001705,4514.315789473684,75,32,0,107
166,13.600750000001563,4465.6,79,18,1,97
167,23.548000000001075,5091.0,76,28,1,104
168,-27.472499999999833,1871.5,26,31,10,57
169,-15.83424999999877,2923.55,33,31,1,64
170,22.8652500000017,4865.7,87,23,0,110
171,-12.091499999999098,2147.9411764705883,27,27,1,54
172,6.04975000000036,1429.0,71,22,5,93
173,1.8487500000008388,3321.95,44,27,0,71
174,-10.840999999999061,2687.4444444444443,43,21,3,64
175,-30.93624999999945,2189.35,19,24,2,43
176,21.51425000000033,2059.0,63,20,1,83
177,-9.548499999998635,2047.1176470588234,57,25,3,82
178,12.717000000001027,2545.125,61,31,0,92
179,-15.779499999999322,2009.375,34,20,4,54
