Episode,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
1,1989.0,9,42,0,51
2,1824.157894736842,9,36,2,45
3,3143.470588235294,30,34,0,64
4,2408.6470588235293,15,34,0,49
5,2311.722222222222,24,29,0,53
6,3783.85,27,41,0,68
7,2027.2105263157894,11,30,11,41
8,1979.8823529411766,18,32,0,50
9,2378.0,19,33,19,52
10,3020.8333333333335,28,38,6,66
11,2608.1666666666665,27,34,6,61
12,2910.2631578947367,15,41,0,56
13,2139.8888888888887,12,42,1,54
14,1865.611111111111,14,33,0,47
15,2333.8947368421054,16,27,0,43
16,2496.7368421052633,17,40,0,57
17,2755.823529411765,22,35,0,57
18,2285.277777777778,15,39,0,54
19,3544.4210526315787,21,47,0,68
20,2979.5789473684213,18,40,0,58
21,3288.6,24,39,0,63
22,2418.2631578947367,15,30,0,45
23,2876.9473684210525,20,33,0,53
24,1752.8666666666666,16,48,0,64
25,2471.1176470588234,11,51,0,62
26,2009.5,12,48,0,60
27,3066.5789473684213,24,39,0,63
28,2485.9473684210525,26,29,0,55
29,2597.0,15,45,0,60
30,2770.3888888888887,24,36,0,60
31,1714.75,9,47,0,56
32,1429.0,0,32,0,32
33,1822.3333333333333,9,35,0,44
34,3130.0526315789475,22,42,0,64
35,2084.277777777778,12,39,2,51
36,2088.6666666666665,12,31,0,43
37,3200.157894736842,23,43,2,66
38,1801.6842105263158,2,44,1,46
39,1429.0,0,39,0,39
40,2023.9473684210527,10,34,0,44
41,2100.1111111111113,15,30,13,45
42,2115.842105263158,10,32,0,42
43,1689.5882352941176,5,40,0,45
44,2040.111111111111,9,38,0,47
45,2563.529411764706,19,43,0,62
46,2047.35,8,34,0,42
47,1429.0,4,39,0,43
48,1936.0588235294117,15,39,0,54
49,2459.1666666666665,16,36,0,52
50,3277.35,21,33,0,54
51,2134.5555555555557,11,39,0,50
52,2317.2,16,32,0,48
53,2110.7368421052633,16,28,0,44
54,3089.1052631578946,23,37,0,60
55,2086.0555555555557,16,42,0,58
56,1944.4736842105262,12,32,0,44
57,1974.6842105263158,10,39,0,49
58,2032.3,9,31,0,40
59,2463.5,17,38,0,55
60,2667.277777777778,26,28,0,54
61,3268.75,26,37,0,63
62,2698.9473684210525,23,36,0,59
63,1618.5882352941176,5,39,0,44
64,2116.1111111111113,15,30,0,45
65,1929.0,13,55,0,68
66,2110.722222222222,15,36,0,51
67,3020.8571428571427,27,42,0,69
68,2573.5789473684213,23,25,0,48
69,2533.1666666666665,15,35,0,50
70,2902.1,17,32,0,49
71,2636.2631578947367,13,41,0,54
72,2627.0526315789475,18,35,0,53
73,2028.35,10,30,0,40
74,3035.55,15,35,0,50
75,4548.85,23,42,0,65
76,3038.65,16,37,0,53
77,2225.15,16,27,0,43
78,1941.4444444444443,17,36,10,53
79,3716.25,27,37,1,64
80,3271.2105263157896,25,42,0,67
81,2012.2105263157894,8,37,2,45
82,1828.5,9,40,0,49
83,4258.45,36,41,0,77
84,2134.5,19,32,0,51
85,1986.3157894736842,12,31,0,43
86,2650.4444444444443,16,42,0,58
87,3291.05,19,42,0,61
88,2664.470588235294,18,41,0,59
89,1988.3529411764705,19,33,9,52
90,2290.823529411765,23,33,6,56
91,2183.0555555555557,18,36,0,54
92,2292.1052631578946,12,32,0,44
93,1563.4705882352941,4,36,5,40
94,2804.125,33,28,0,61
95,2066.6111111111113,11,40,0,51
96,2669.8888888888887,16,32,0,48
97,3266.315789473684,25,31,0,56
98,2028.3,13,25,0,38
99,2333.0,16,28,0,44
100,1943.6842105263158,8,35,0,43
101,2757.705882352941,23,42,0,65
102,2681.4210526315787,15,40,2,55
103,2139.4,6,34,0,40
104,2197.222222222222,14,37,0,51
105,1509.375,9,42,0,51
106,2848.9,15,37,0,52
107,3668.842105263158,29,46,0,75
108,1973.111111111111,16,27,2,43
109,2228.0,15,41,0,56
110,2162.125,23,36,0,59
111,2862.6315789473683,18,33,0,51
112,2062.2631578947367,5,38,0,43
113,1982.6875,15,42,0,57
114,2089.5555555555557,11,34,0,45
115,2274.777777777778,19,40,10,59
116,3302.1052631578946,23,41,0,64
117,2129.95,9,35,0,44
118,2736.3,20,32,0,52
119,1810.888888888889,10,34,0,44
120,1429.0,1,37,0,38
121,2566.3,14,34,0,48
122,2669.0,26,29,0,55
123,2326.75,17,31,0,48
124,2741.8,14,35,0,49
125,2347.3684210526317,17,38,1,55
126,2044.15,9,28,0,37
127,3135.8947368421054,28,32,0,60
128,3414.05,23,39,0,62
129,1514.375,12,40,5,52
130,2054.0,13,33,0,46
131,4465.6,25,49,0,74
132,3072.4210526315787,18,41,1,59
133,2941.05,16,36,0,52
134,3307.0526315789475,21,45,0,66
135,3214.777777777778,31,38,0,69
136,2458.315789473684,12,46,0,58
137,2520.4,19,27,0,46
138,2353.222222222222,16,37,0,53
139,2587.0526315789475,15,31,0,46
140,2863.25,9,38,0,47
141,2186.294117647059,14,43,0,57
142,2652.05,18,32,0,50
143,2590.2631578947367,11,38,0,49
144,4146.55,23,45,0,68
145,2366.5,18,30,0,48
146,3269.5,19,39,0,58
147,3171.95,22,41,0,63
148,2805.0,26,35,0,61
149,2678.35,18,35,0,53
150,2459.0,23,41,9,64
151,2824.1666666666665,22,35,0,57
152,2087.3529411764707,16,38,0,54
153,2576.3888888888887,20,33,0,53
154,3603.722222222222,31,35,0,66
155,2480.0,14,46,0,60
156,5477.55,40,55,0,95
157,1753.157894736842,4,32,0,36
158,2361.8823529411766,19,37,0,56
159,2295.7,13,32,0,45
160,3250.4210526315787,27,40,0,67
161,2290.5555555555557,13,44,4,57
162,1551.3529411764705,4,39,5,43
163,2555.315789473684,19,36,0,55
164,2501.4444444444443,18,44,0,62
165,2133.375,14,44,0,58
166,2754.842105263158,25,31,0,56
167,2228.5263157894738,8,37,0,45
168,1993.7894736842106,15,26,0,41
169,1429.0,1,33,0,34
170,2937.8888888888887,24,37,0,61
171,2294.705882352941,18,31,0,49
172,2194.15,14,32,0,46
173,1926.157894736842,9,37,0,46
174,2288.65,13,36,0,49
175,2537.7368421052633,14,38,0,52
176,2514.1176470588234,22,38,0,60
177,1429.0,2,43,0,45
178,3505.157894736842,31,44,0,75
179,1747.4444444444443,6,34,0,40
180,2948.5,31,31,0,62
181,1891.1666666666667,6,47,2,53
182,2321.5,16,36,0,52
183,3099.9473684210525,23,30,0,53
184,1429.0,1,36,0,37
185,3325.4736842105262,24,43,0,67
186,4589.473684210527,41,40,0,81
187,3358.1052631578946,24,40,4,64
188,2645.9444444444443,20,37,0,57
189,2521.8947368421054,26,26,0,52
190,2599.5789473684213,13,41,0,54
191,2087.8,11,32,0,43
192,3057.9444444444443,25,41,0,66
193,2020.35,10,35,0,45
194,3706.95,26,43,0,69
195,2520.2631578947367,19,30,0,49
196,2088.65,12,30,0,42
197,4479.2,21,51,0,72
198,2060.3888888888887,13,27,0,40
199,2900.2631578947367,22,42,0,64
200,1720.0555555555557,3,33,0,36
201,3886.0526315789475,27,52,0,79
202,2680.3529411764707,22,32,0,54
203,1973.1666666666667,12,44,4,56
204,2996.4210526315787,27,41,0,68
205,2506.7368421052633,18,37,0,55
206,1691.888888888889,5,41,0,46
207,1429.0,3,46,2,49
208,1992.611111111111,12,59,0,71
209,2419.842105263158,6,44,0,50
210,2160.176470588235,10,44,0,54
211,2589.4736842105262,13,35,0,48
212,2306.5555555555557,12,33,0,45
213,3969.6,20,48,0,68
214,1859.2105263157894,6,35,0,41
215,3918.7,23,45,0,68
216,3360.5789473684213,26,42,0,68
217,2586.9473684210525,14,48,6,62
