Episode,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
1,2391.705882352941,30,32,0,62
2,2749.1666666666665,24,29,0,53
3,1814.4444444444443,8,32,5,40
4,2370.6315789473683,13,38,0,51
5,2421.0555555555557,11,35,0,46
6,2892.294117647059,30,39,0,69
7,2485.8947368421054,18,32,1,50
8,3082.764705882353,30,45,0,75
9,1933.5,15,40,9,55
10,2531.3333333333335,23,35,0,58
11,1500.4375,10,39,0,49
12,2441.5,25,38,0,63
13,3095.7894736842104,14,41,0,55
14,1905.2777777777778,13,39,0,52
15,3137.0,11,37,0,48
16,3153.3684210526317,29,34,0,63
17,2741.6315789473683,22,37,1,59
18,3044.0,15,45,0,60
19,2024.3,16,27,0,43
20,3841.1052631578946,31,46,0,77
21,2498.722222222222,23,32,0,55
22,2079.0,11,36,0,47
23,2617.823529411765,27,37,10,64
24,3772.8,31,36,0,67
25,2378.705882352941,18,34,0,52
26,3623.6,30,41,0,71
27,2679.5,25,38,5,63
28,2278.3333333333335,21,35,0,56
29,4279.9,37,27,0,64
30,3434.705882352941,38,37,0,75
31,3641.1,25,36,0,61
32,3091.85,22,29,0,51
33,2139.375,22,27,0,49
34,2632.8888888888887,18,33,0,51
35,2241.470588235294,17,38,0,55
36,3266.157894736842,29,30,0,59
37,1635.3529411764705,7,35,0,42
38,2473.153846153846,21,29,0,50
39,2967.2105263157896,34,30,0,64
40,3378.6470588235293,30,48,0,78
41,2860.157894736842,18,35,0,53
42,2531.4444444444443,21,37,0,58
43,2932.842105263158,32,27,0,59
44,1635.4117647058824,6,37,0,43
45,3009.684210526316,28,32,0,60
46,2181.3333333333335,18,36,0,54
47,2878.25,29,32,0,61
48,2787.85,17,35,0,52
49,3675.6315789473683,23,39,0,62
50,2961.777777777778,26,35,0,61
51,3989.35,26,35,0,61
52,1429.0,15,44,0,59
53,2759.8947368421054,20,33,0,53
54,2972.7,22,34,0,56
55,3207.684210526316,25,39,1,64
56,3906.95,29,37,0,66
57,2606.95,13,37,0,50
58,2897.3888888888887,28,48,0,76
59,2763.277777777778,24,44,0,68
60,3716.45,21,51,0,72
61,3340.9444444444443,28,41,0,69
62,3093.3684210526317,25,33,0,58
63,3636.315789473684,25,33,2,58
64,1706.3529411764705,13,32,0,45
65,2815.6470588235293,26,31,0,57
66,2398.1666666666665,11,41,0,52
67,4314.05,32,35,0,67
68,2860.529411764706,27,42,0,69
69,2539.3684210526317,13,36,0,49
70,2319.8823529411766,19,39,0,58
71,3583.05,22,37,0,59
72,2414.222222222222,21,33,0,54
73,2698.0,24,36,1,60
74,3812.45,25,44,0,69
75,2094.8333333333335,13,38,0,51
76,2416.9411764705883,22,39,1,61
77,2349.8125,22,34,0,56
78,3277.0526315789475,23,41,0,64
79,3608.55,21,44,0,65
80,1786.6470588235295,16,42,0,58
