Episode,Average Reward,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
1,-13.949999999998337,3207.6666666666665,41,11,33,52
2,-23.21874999999928,2475.0526315789475,27,11,18,38
3,-17.364999999998712,2137.4375,45,14,19,59
4,9.58525000000065,4437.0,80,11,24,91
5,10.673250000002028,2424.1875,56,5,21,61
6,-3.519499999999143,3741.5263157894738,54,16,18,70
7,14.536500000001539,2652.294117647059,57,13,16,70
8,17.99300000000393,1658.6666666666667,73,5,23,78
9,15.707500000003929,2802.470588235294,79,11,21,90
10,13.57525000000146,2572.8823529411766,43,7,22,50
11,-18.670499999998533,4577.5,40,12,28,52
12,-18.183249999999216,2865.55,28,17,16,45
13,-21.32099999999915,2332.9411764705883,32,18,16,50
14,-24.528499999999216,3429.85,28,20,16,48
15,-17.09724999999869,2630.9444444444443,39,5,25,44
16,-15.585999999998936,2434.0,55,20,16,75
17,-16.476999999999542,1429.0,33,10,25,43
18,-35.15499999999927,2669.55,23,10,18,33
19,-6.691749999999315,3762.4210526315787,52,12,14,64
20,-3.8299999999979804,4207.684210526316,72,6,21,78
21,-25.108749999999095,1857.5294117647059,30,22,18,52
22,14.421750000001698,3009.823529411765,44,11,16,55
23,21.016250000001936,3414.0588235294117,51,5,33,56
24,-13.817499999998116,1534.8666666666666,33,10,25,43
25,-2.179749999999504,2756.764705882353,70,21,16,91
26,-18.04999999999878,3490.7894736842104,43,7,24,50
27,-28.13199999999882,2505.1052631578946,22,12,20,34
28,2.4342500000023017,3366.5,50,15,17,65
29,-11.828749999998415,3417.9,40,6,25,46
30,7.629250000002342,1976.235294117647,45,13,20,58
31,1.9050000000012282,3714.777777777778,60,10,29,70
32,3.3862500000010187,4039.1052631578946,60,17,15,77
33,-9.0605,1529.5333333333333,33,2,26,35
34,-21.358249999999163,3027.2105263157896,25,9,29,34
35,-12.015249999998831,3194.315789473684,37,5,25,42
36,-14.754999999998015,3338.222222222222,56,13,23,69
37,-15.187999999999741,2115.0,44,8,20,52
38,-18.125499999998773,2474.8823529411766,45,15,20,60
39,-19.398999999998615,2982.157894736842,37,8,22,45
40,1.3905000000032746,3452.8333333333335,62,11,19,73
41,2.9385000000019916,4937.05,58,10,20,68
42,-26.068249999999615,1599.6875,11,4,27,15
43,-14.694749999999416,2555.176470588235,34,10,21,44
44,-4.1737499999997585,2248.8823529411766,49,11,20,60
45,-9.3479999999995,3012.157894736842,41,15,20,56
