Episode,Average Reward,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
1,-5.3037499999984,3995.7,58,18,9,76
2,-10.871499999997251,4401.25,72,12,6,84
3,-25.274249999999306,1966.8235294117646,28,10,26,38
4,6.557500000003311,4350.526315789473,91,12,7,103
5,-3.0734999999972574,4824.263157894737,97,13,16,110
6,-6.406499999997747,2500.4444444444443,42,16,14,58
7,-1.7377499999972215,4687.05,80,12,10,92
8,-13.347999999996528,5230.6,84,22,11,106
9,-24.108999999997792,2160.222222222222,37,14,15,51
10,2.645000000000931,3174.222222222222,68,12,11,80
11,16.242000000002644,5224.25,82,12,19,94
12,-3.123499999996749,2867.222222222222,49,11,21,60
13,-20.478749999997113,4846.6,71,11,22,82
14,-19.735749999998458,2387.6111111111113,41,13,12,54
15,-5.916499999997693,3876.842105263158,67,9,11,76
16,-15.6882499999976,3190.9473684210525,50,8,12,58
17,-7.888999999998568,2794.2631578947367,28,8,20,36
18,-2.4209999999963214,1534.8666666666666,64,20,8,84
19,-8.863249999997416,2955.6470588235293,65,15,9,80
20,-18.527749999998036,3025.705882352941,74,12,35,86
21,-10.807749999999336,1705.8125,45,8,19,53
22,-18.008749999998237,2736.5263157894738,43,12,11,55
23,-3.894249999998197,2212.1111111111113,40,16,4,56
24,-3.0369999999967736,3005.5,84,15,8,99
25,-17.95749999999898,2687.157894736842,50,8,13,58
26,-11.725749999998335,2492.6111111111113,37,11,10,48
27,4.938000000003156,3642.3888888888887,94,8,17,102
28,-6.164499999996908,4733.75,77,15,11,92
29,-16.492499999997165,2166.764705882353,46,9,18,55
30,-17.681999999998403,3193.764705882353,67,26,8,93
31,-12.471999999999053,2836.842105263158,35,18,13,53
32,6.6325000000017935,4530.65,74,10,2,84
33,-10.049499999997945,4307.9473684210525,75,10,12,85
34,-7.294499999998068,2353.625,85,10,17,95
35,-30.288000000000515,2028.6666666666667,12,13,34,25
36,-12.592499999999516,2742.55,25,11,11,36
37,-7.08699999999917,3237.7894736842104,63,17,15,80
38,-9.711999999999183,2258.9444444444443,31,15,11,46
39,-11.42799999999735,1866.9411764705883,40,8,14,48
40,-26.07799999999934,2600.0555555555557,31,12,33,43
41,-12.80674999999837,2241.222222222222,42,12,2,54
42,-9.315999999998983,3114.05,23,9,6,32
43,-5.1152499999985155,3038.8947368421054,47,5,21,52
44,-10.195999999997222,2586.8888888888887,58,4,23,62
45,-7.210999999996849,3490.0526315789475,81,11,12,92
46,-3.0352499999980163,3335.4736842105262,60,5,12,65
