Episode,Average Reward,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
1,-14.702749999999252,1528.25,18,11,25,29
2,-31.062749999999813,2102.4210526315787,14,16,36,30
3,-30.390499999999417,1546.125,20,1,32,21
4,1.294250000000827,3278.3888888888887,42,10,17,52
5,-6.159749999998015,4743.45,59,8,16,67
6,1.7055000000021479,4041.05,60,5,20,65
7,-24.068999999999672,2976.6666666666665,41,10,31,51
8,15.723500000001152,3573.6111111111113,52,20,15,72
9,-25.22824999999948,3166.45,25,8,19,33
10,2.657250000001811,3135.5,50,9,21,59
11,14.482750000001214,5569.55,66,9,17,75
12,-14.91799999999935,2685.5,25,10,19,35
13,-26.943749999999568,2953.777777777778,41,13,27,54
14,-1.0082499999994048,2571.875,60,11,19,71
15,7.310000000001182,4584.65,52,5,23,57
16,-28.27074999999972,2132.4210526315787,11,27,12,38
17,-10.803249999998332,2117.4736842105262,40,11,18,51
18,-18.269749999999064,2568.277777777778,36,5,18,41
19,-11.141999999999502,3170.1052631578946,42,16,14,58
20,-5.555499999998576,3140.0,46,6,18,52
21,-32.639249999999876,1960.8333333333333,12,12,25,24
22,-8.869749999997307,2828.3571428571427,50,12,18,62
23,-16.712249999999433,2286.176470588235,23,3,26,26
24,-7.377249999999277,2735.9444444444443,33,9,19,42
25,-23.025249999999346,3156.05,23,8,24,31
26,-12.994249999999706,2529.9411764705883,49,21,16,70
27,-6.182249999998272,3490.0526315789475,40,6,24,46
28,13.042500000001521,3608.0555555555557,80,8,20,88
29,15.274500000001703,4263.25,64,11,18,75
30,-27.881999999998897,2505.157894736842,22,8,26,30
31,14.876250000000656,3254.5,54,13,22,67
32,-29.554250000000007,2523.4736842105262,37,6,28,43
33,-12.266749999997568,2199.777777777778,36,13,26,49
34,-22.822749999999253,2604.5,28,4,22,32
35,-29.612749999998965,2517.684210526316,24,17,29,41
36,4.553000000001644,3573.722222222222,57,7,20,64
37,-13.69974999999935,2146.8888888888887,23,4,22,27
38,-40.38449999999982,2526.7,9,16,19,25
39,-6.862499999997904,2557.0555555555557,41,14,22,55
40,0.38625000000193754,4122.8,51,6,20,57
41,-21.027999999998674,3876.75,41,9,22,50
42,-7.548500000000045,2746.5555555555557,33,14,21,47
43,11.49025000000256,3101.3529411764707,61,10,19,71
44,-6.4424999999981,3088.6666666666665,45,7,23,52
45,9.348750000002065,4647.3,59,9,18,68
46,-11.857749999999092,2155.6111111111113,27,9,14,36
47,-2.7104999999984964,4818.75,51,16,13,67
48,-18.78024999999761,2559.764705882353,40,5,36,45
49,-15.979749999997086,1769.375,46,8,27,54
50,-17.566749999998834,3260.75,34,6,21,40
51,-2.7327499999980143,3108.1111111111113,44,10,22,54
52,-14.348999999998938,3277.5,32,10,20,42
53,-18.715999999999315,2786.6315789473683,40,15,20,55
54,-16.212999999998626,2639.8888888888887,26,9,23,35
55,-24.89399999999936,2816.7894736842104,33,11,19,44
56,-29.28649999999979,2636.4210526315787,25,7,23,32
57,-30.72024999999966,2690.9444444444443,30,23,32,53
58,5.085250000001215,3281.157894736842,43,11,20,54
59,-15.096749999998204,3428.222222222222,44,9,25,53
60,-13.396749999999411,3368.1052631578946,47,4,23,51
61,-32.56349999999896,2700.4736842105262,25,4,25,29
62,-1.1649999999982885,3104.8947368421054,34,13,22,47
63,-15.878999999999087,2445.8888888888887,30,5,25,35
64,26.010000000001064,3026.705882352941,79,10,23,89
65,6.678000000001778,3325.9,59,6,22,65
66,-9.079749999999478,2698.8333333333335,39,11,22,50
67,14.078500000001764,3885.157894736842,56,17,14,73
68,-39.809249999999,1429.0,8,8,28,16
69,-17.775249999999026,3442.4210526315787,35,14,23,49
70,2.500000000002052,2668.0555555555557,43,9,23,52
71,19.827500000000867,4694.684210526316,72,12,15,84
72,-1.1349999999983553,3865.5555555555557,91,12,20,103
73,-6.816999999998245,2638.4375,42,9,27,51
74,-30.816999999999183,1528.25,9,9,27,18
75,-1.6969999999985224,3338.222222222222,59,7,25,66
76,-29.378499999998546,2525.277777777778,30,8,26,38
77,-11.950249999998421,3940.15,55,10,21,65
78,-14.536999999999157,3348.2,29,10,18,39
79,-10.491499999999958,2105.9411764705883,39,9,24,48
80,-33.61774999999858,2300.222222222222,25,16,17,41
81,-27.812999999999136,2417.6111111111113,33,18,25,51
82,-44.67349999999952,2298.6666666666665,12,10,33,22
