Episode,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
1,2358.5555555555557,5,25,13,30
2,1429.0,0,19,2,19
3,2828.705882352941,10,27,16,37
4,2059.7894736842104,2,9,9,11
5,1879.1176470588234,2,15,15,17
6,2794.157894736842,12,19,22,31
7,3629.05,1,23,25,24
8,1865.5,3,28,8,31
9,2461.6111111111113,9,15,19,24
10,1429.0,0,21,0,21
11,1795.0,0,18,3,18
12,2054.1052631578946,2,18,17,20
13,2851.4444444444443,8,21,14,29
14,2264.1666666666665,8,28,16,36
15,4209.25,7,23,11,30
16,2787.1111111111113,4,17,34,21
17,2087.3529411764707,5,24,22,29
18,1766.1176470588234,6,21,16,27
19,1429.0,0,22,11,22
20,2191.8888888888887,3,14,13,17
21,1528.25,0,11,18,11
22,2879.777777777778,9,16,23,25
23,2106.6315789473683,3,16,15,19
24,3039.3333333333335,8,10,33,18
25,1556.0588235294117,0,20,0,20
26,2068.6470588235293,1,9,17,10
27,1874.388888888889,0,14,15,14
28,2215.294117647059,5,13,25,18
29,2493.2631578947367,2,28,6,30
30,2243.35,3,16,9,19
31,1526.1764705882354,1,17,8,18
32,2291.2105263157896,6,23,18,29
33,1455.8125,0,11,7,11
34,2156.7368421052633,6,24,4,30
35,2881.0526315789475,3,15,24,18
36,1715.7058823529412,1,16,16,17
37,2279.1666666666665,1,13,18,14
38,1787.25,5,19,19,24
39,1724.1176470588234,2,15,18,17
40,1811.9411764705883,3,18,27,21
41,2258.235294117647,4,14,19,18
42,1893.7777777777778,4,22,8,26
43,2665.5789473684213,3,15,13,18
44,2236.0,11,24,14,35
45,1757.764705882353,2,21,13,23
46,1927.842105263158,0,23,9,23
47,2728.0,3,20,20,23
48,1429.0,0,18,9,18
49,1564.4117647058824,1,18,21,19
50,2036.611111111111,3,28,13,31
51,2396.4736842105262,5,22,13,27
52,1429.0,0,22,0,22
53,2602.0,2,18,10,20
54,2106.6315789473683,2,12,11,14
55,2125.0,4,21,17,25
56,1580.8125,5,25,14,30
57,1675.0625,3,19,22,22
58,3244.9,8,27,10,35
59,1945.3529411764705,4,23,18,27
60,1849.75,9,17,18,26
61,4258.45,12,10,24,22
62,1581.235294117647,0,11,19,11
63,2238.5789473684213,3,13,8,16
64,2417.6111111111113,7,20,10,27
65,2008.8235294117646,4,25,6,29
