Episode,Average Reward,Average Lifespan,True Location Count,False Location Count,Explore Actions,Target Actions
1,-35.12499999999907,2685.777777777778,18,28,6,46
2,-32.3834999999995,2600.8823529411766,17,25,7,42
3,-33.67599999999925,2723.6,18,28,6,46
4,-30.446499999999247,2677.1052631578946,21,25,6,46
5,-38.29599999999974,3298.1,16,31,11,47
6,-38.61449999999887,5215.7,31,39,9,70
7,-33.52049999999876,1697.9375,13,24,13,37
8,-31.96374999999931,2905.1666666666665,21,25,6,46
9,-36.00500000000057,1753.0588235294117,26,29,12,55
10,-33.19799999999995,3377.315789473684,23,33,10,56
11,-22.70649999999965,3172.6315789473683,27,33,6,60
12,-40.843749999999964,2292.9473684210525,11,19,15,30
13,-33.51649999999916,3154.0,26,24,7,50
14,-33.00300000000057,1917.6666666666667,23,34,7,57
15,-16.715499999998706,3174.315789473684,28,30,7,58
16,-38.65725000000004,1786.1875,20,34,9,54
17,-44.12674999999829,2596.6111111111113,20,32,8,52
18,-37.64224999999946,2708.1052631578946,12,18,10,30
19,-35.28774999999949,1993.8947368421052,10,21,10,31
20,-37.97449999999982,2237.0,13,18,8,31
21,-37.90224999999937,1743.7058823529412,8,22,11,30
22,-33.95649999999907,2867.684210526316,17,26,8,43
23,-34.00424999999963,3183.4210526315787,18,30,8,48
24,-32.84099999999939,2072.8,13,27,5,40
25,-22.694999999999702,2355.777777777778,18,28,7,46
26,-25.990500000000118,3023.5,20,27,5,47
27,-38.088249999999206,2577.5,12,21,10,33
28,-27.40599999999916,2817.470588235294,25,31,6,56
29,-40.61749999999908,3173.55,13,23,9,36
30,-42.331749999999275,3933.05,19,34,13,53
31,-16.41374999999997,2364.75,35,24,12,59
32,-26.49399999999931,2549.0555555555557,20,28,1,48
33,-41.597749999999714,2361.0,15,23,14,38
34,-40.635249999999,4095.7894736842104,26,31,6,57
35,-34.83450000000016,2094.8947368421054,19,30,11,49
36,-36.579749999998626,3413.157894736842,26,31,4,57
37,-36.80749999999877,2956.3684210526317,21,29,5,50
38,-44.88149999999908,3577.7894736842104,17,29,6,46
39,-34.12149999999944,3089.9473684210525,19,31,9,50
40,-27.863499999999487,2725.85,17,28,6,45
41,-40.767999999999276,3794.95,23,26,9,49
42,-42.177249999998764,3170.4,15,26,15,41
43,-41.55174999999974,2277.4444444444443,11,28,6,39
44,-30.0449999999992,2710.5789473684213,22,25,9,47
45,-29.851749999998606,2144.4375,27,19,13,46
46,-35.935499999999436,2962.0526315789475,15,29,7,44
47,-45.05424999999974,2018.8947368421052,9,29,6,38
48,-42.788499999999274,2263.6315789473683,7,26,9,33
49,-37.365249999999264,2569.6,14,25,6,39
50,-42.17924999999992,2759.0526315789475,17,31,8,48
