Episode,Average Reward,Average Lifespan,True Location Count,False Location Count,Explore Actions,Target Actions
1,-31.767999999999553,2537.6111111111113,15,30,2,45
2,-16.005500000000033,2275.3684210526317,17,24,15,41
3,-31.7757499999996,2177.6315789473683,11,28,8,39
4,-45.28624999999959,3755.3,18,39,2,57
5,-34.93999999999986,1598.0588235294117,3,27,7,30
6,-28.58274999999879,1853.625,20,31,16,51
7,-38.85299999999956,2804.157894736842,18,25,8,43
8,-31.565749999999674,2751.0,28,27,8,55
9,-29.395249999999567,1771.2222222222222,12,25,6,37
10,-37.2249999999999,2164.8823529411766,20,30,14,50
11,-33.6437500000001,1685.8235294117646,9,26,9,35
12,-22.218249999999433,3057.3684210526317,24,28,5,52
13,-31.11124999999985,1955.8125,16,36,5,52
14,-28.022499999999514,2098.4444444444443,15,25,5,40
15,-35.82249999999932,2304.684210526316,15,23,5,38
16,-43.98774999999966,2463.6470588235293,17,34,6,51
17,-21.792999999999225,1888.4705882352941,15,28,9,43
18,-34.97149999999813,2659.6470588235293,27,33,10,60
19,-20.81499999999825,3464.157894736842,31,28,11,59
20,-26.60499999999903,2889.45,17,25,9,42
21,-22.659750000000027,2473.8125,32,28,19,60
22,-21.294749999999247,2368.0,18,23,6,41
23,-34.55099999999844,2339.4117647058824,26,30,10,56
24,-18.217750000000414,2198.8888888888887,16,27,12,43
25,-27.4502499999998,2395.7368421052633,19,26,5,45
26,-37.535749999999446,2741.75,14,30,7,44
27,-16.8092499999998,3647.0526315789475,33,33,11,66
28,-23.824999999999697,2969.5,14,31,10,45
29,-6.970499999999104,3407.75,26,27,8,53
30,-29.500999999999767,2505.0,15,25,12,40
31,-42.53574999999948,3087.3684210526317,25,29,5,54
32,-34.07849999999992,2648.0,19,30,7,49
33,-19.578499999999224,2690.1111111111113,26,25,11,51
34,-27.419999999999327,2643.684210526316,14,24,9,38
35,-34.01174999999971,2285.45,11,24,6,35
36,-37.85174999999923,3764.8947368421054,14,37,11,51
37,-29.32324999999908,3625.05,26,34,7,60
38,-31.94724999999997,1634.375,20,36,13,56
39,-34.93549999999968,2818.4736842105262,21,26,9,47
40,-17.55899999999937,3806.1,29,35,8,64
41,-46.42024999999966,2349.722222222222,14,27,8,41
