Episode,Average Reward,Average Lifespan,True Location Count,False Location Count,Explore Actions,Target Actions
1,-29.021249999999288,2501.3,16,27,3,43
2,-32.89624999999927,2553.5789473684213,17,26,11,43
3,-31.262499999999523,2623.5,11,29,4,40
4,-27.0789999999992,3548.9,20,28,4,48
5,-38.24849999999931,2807.5,20,28,3,48
6,-33.8507499999999,2305.4210526315787,13,22,11,35
7,-44.21674999999978,2159.2631578947367,13,30,5,43
8,-48.41949999999979,2299.4444444444443,20,28,9,48
9,-44.88874999999992,2185.4,7,24,5,31
10,-46.21074999999966,2888.5263157894738,15,36,6,51
11,-37.44499999999856,2393.6470588235293,21,30,6,51
12,-34.37974999999982,2242.1666666666665,15,28,10,43
13,-44.78249999999943,2498.722222222222,12,21,11,33
14,-37.21449999999951,1957.3333333333333,13,24,9,37
15,-33.42499999999986,2042.4705882352941,18,32,8,50
16,-37.54749999999951,2032.3,7,27,9,34
17,-36.79299999999948,2305.4736842105262,17,22,5,39
18,-45.558999999999806,1877.888888888889,10,24,7,34
19,-43.015250000000606,2738.5555555555557,23,45,7,68
20,-37.46924999999964,2318.75,13,26,6,39
21,-25.98699999999897,2854.222222222222,39,20,9,59
22,-35.79574999999917,3254.4,21,26,8,47
23,-36.298249999998895,3375.684210526316,29,33,8,62
24,-43.129249999999516,2764.1052631578946,26,29,10,55
25,-30.88999999999936,2289.4,14,27,7,41
26,-27.759999999999927,2039.2777777777778,28,19,9,47
27,-34.14924999999967,1811.8823529411766,18,23,10,41
28,-45.95174999999983,2322.4444444444443,10,22,13,32
29,-39.923249999999456,2177.9411764705883,14,30,2,44
30,-38.01699999999925,2931.2105263157896,23,31,5,54
31,-36.636499999999366,2368.277777777778,15,29,6,44
32,-47.90824999999972,2223.75,21,29,12,50
33,-35.6387499999993,2678.842105263158,18,26,9,44
34,-37.0172499999993,2613.842105263158,14,24,5,38
35,-34.12399999999981,2011.0555555555557,13,25,4,38
36,-47.89999999999965,2457.5263157894738,12,36,7,48
37,-39.34174999999992,2059.95,5,21,11,26
38,-30.645249999999415,2478.315789473684,21,22,4,43
39,-29.767749999999797,2723.235294117647,24,35,8,59
40,-39.712749999999346,2445.7894736842104,15,31,2,46
41,-32.29274999999945,3177.5,21,26,8,47
42,-37.967249999999666,2189.315789473684,6,28,12,34
43,-41.88824999999938,2631.9444444444443,20,32,5,52
44,-39.191249999999556,2644.6315789473683,14,26,9,40
45,-49.13250000000007,1778.235294117647,5,25,8,30
46,-39.1702499999995,3587.95,19,26,7,45
47,-45.26849999999929,3545.7,17,30,10,47
48,-40.483249999999956,1909.6666666666667,10,23,6,33
49,-21.67249999999985,2726.4736842105262,17,27,8,44
50,-39.994500000000194,1921.111111111111,14,29,10,43
51,-34.86449999999955,2036.25,9,26,7,35
52,-37.318749999999554,2429.0588235294117,22,34,8,56
53,-34.78674999999954,2080.823529411765,17,18,8,35
54,-25.113999999999553,3297.9473684210525,28,28,4,56
55,-33.81749999999899,3464.0,23,29,11,52
56,-44.16024999999944,2399.842105263158,10,28,4,38
57,-39.58824999999938,3169.3684210526317,17,28,8,45
58,-38.362249999999754,1778.2941176470588,11,30,8,41
59,-33.86249999999943,3279.5789473684213,22,22,12,44
60,-31.624749999999302,2568.05,17,20,7,37
61,-22.51849999999939,2694.7894736842104,18,28,5,46
62,-27.8694999999992,3066.4,20,22,7,42
63,-30.660499999999445,2911.5,27,25,6,52
64,-20.40349999999934,2966.2631578947367,24,28,4,52
65,-35.3522499999993,2738.6111111111113,22,28,8,50
66,-46.040000000000084,2100.1666666666665,12,26,6,38
67,-36.838999999999494,3165.4444444444443,23,40,4,63
68,-26.65099999999943,2575.4444444444443,18,25,5,43
69,-43.65874999999944,2325.05,13,24,4,37
70,-32.41224999999933,2466.6315789473683,15,28,6,43
71,-58.043750000000145,1917.611111111111,15,29,19,44
72,-44.563499999999785,1731.5,4,23,7,27
73,-25.545999999999545,3745.8,25,22,8,47
74,-41.8947499999994,2403.157894736842,10,25,11,35
75,-33.03174999999999,1669.0,14,28,9,42
76,-39.17149999999918,4096.578947368421,27,37,11,64
77,-39.56099999999921,2588.764705882353,26,26,8,52
78,-44.56799999999997,2405.277777777778,11,28,7,39
79,-36.85749999999935,2582.9473684210525,16,23,5,39
80,-26.81499999999852,2686.764705882353,24,33,7,57
81,-50.28025000000001,2235.823529411765,18,31,12,49
82,-31.430499999999785,2393.8888888888887,25,24,6,49
83,-29.37349999999916,2841.7894736842104,17,26,9,43
84,-48.24074999999922,2833.4736842105262,10,38,4,48
85,-28.630499999998836,2452.9444444444443,25,27,6,52
86,-36.32649999999956,2308.842105263158,14,22,6,36
87,-30.84124999999898,3457.05,17,29,9,46
88,-37.49599999999945,2413.1111111111113,16,36,11,52
89,-33.049999999999656,2762.4117647058824,29,32,12,61
90,-43.6427499999993,3292.55,17,28,9,45
91,-38.068499999999446,2251.764705882353,15,30,5,45
92,-41.52924999999997,1936.9473684210527,7,24,5,31
93,-32.32949999999912,3550.55,20,26,7,46
94,-40.47749999999943,3711.5789473684213,24,29,8,53
95,-48.531499999998985,2728.25,18,24,8,42
96,-46.64224999999968,2144.9,6,27,10,33
97,-41.37699999999976,2157.5789473684213,12,25,9,37
98,-28.084999999999003,2480.277777777778,24,26,5,50
99,-23.663749999999645,3102.2,17,30,6,47
100,-17.605249999999895,3556.7894736842104,30,31,6,61
101,-29.65424999999932,2473.4736842105262,17,25,6,42
102,-24.08124999999933,3129.2105263157896,21,24,6,45
103,-39.496749999999615,2763.294117647059,31,20,9,51
104,-20.997999999999234,2383.294117647059,21,27,8,48
105,-45.41374999999973,1952.0526315789473,14,24,9,38
106,-34.53099999999945,2325.777777777778,15,23,14,38
107,-23.074499999999475,3221.2,24,27,9,51
108,-37.072749999999694,1954.7058823529412,17,32,7,49
109,-27.890249999998314,3594.5263157894738,26,30,8,56
110,-48.03074999999919,3022.8947368421054,20,29,14,49
111,-35.75599999999953,2445.0,10,24,4,34
112,-30.09074999999972,2703.3888888888887,30,34,11,64
113,-30.937749999999276,3313.5555555555557,28,26,6,54
114,-31.260999999998916,3083.9,22,27,4,49
115,-34.15949999999953,3532.25,30,22,6,52
116,-48.94599999999899,2131.9444444444443,15,30,10,45
