Episode,Average Reward,Average Lifespan,True Location Count,False Location Count,Explore Actions,Target Actions
1,-16.803749999999646,2579.8333333333335,29,10,20,39
2,-16.194749999996326,2940.5555555555557,39,9,21,48
3,-49.923249999997424,3647.25,25,17,24,42
4,-21.44524999999601,1951.875,33,4,32,37
5,-31.906249999997208,2942.277777777778,28,12,24,40
6,-9.982999999998116,1608.625,22,7,14,29
7,-29.236999999999238,2553.4736842105262,38,6,20,44
8,-33.86899999999755,3460.777777777778,49,14,31,63
9,-39.69724999999762,2131.0,15,13,18,28
10,-37.90099999999861,1701.8125,11,20,10,31
11,-47.067999999996196,3329.3888888888887,36,11,34,47
12,-27.189249999998232,2561.0526315789475,15,10,20,25
13,-32.23374999999656,3682.25,27,16,20,43
14,-37.16074999999592,2199.8333333333335,35,6,25,41
15,-38.09974999999777,3597.4,21,8,30,29
16,-29.164749999997184,1609.625,16,10,18,26
17,-23.02549999999659,3343.5555555555557,38,12,26,50
18,-44.96924999999745,3413.2,25,17,23,42
19,-27.879499999997556,2659.684210526316,23,12,22,35
20,-37.42750000000009,1589.6875,27,12,25,39
21,-31.76574999999777,2543.9444444444443,26,9,20,35
22,-36.653999999997,4006.05,34,13,28,47
23,-29.966249999996286,3608.4,39,11,22,50
24,-19.65849999999714,2610.3684210526317,20,8,19,28
25,-21.97474999999956,2230.6111111111113,21,2,29,23
26,-44.34924999999671,2662.470588235294,25,23,22,48
27,-17.798749999998783,3137.05,17,6,20,23
28,-25.056749999999973,1429.0,17,15,24,32
29,-17.03299999999734,2087.3529411764707,26,11,20,37
30,-9.329999999996133,1715.8125,38,12,25,50
31,-13.661499999995447,2926.2105263157896,36,5,28,41
32,-26.019749999997664,1429.0,24,12,15,36
33,-24.064499999999065,2758.2631578947367,23,17,22,40
34,-28.416249999998104,2545.3888888888887,17,15,26,32
35,-14.377249999997767,3167.1666666666665,34,20,20,54
36,-23.52724999999805,2921.157894736842,27,13,17,40
37,-33.575749999998834,3128.2631578947367,28,14,19,42
38,-22.043999999999983,1671.5555555555557,10,13,23,23
39,-56.99399999999887,2516.3888888888887,8,11,40,19
40,-52.61724999999586,2843.6111111111113,24,24,21,48
41,-18.49724999999793,1871.5,40,6,25,46
42,-34.58124999999808,3131.8888888888887,43,17,33,60
43,-29.42249999999745,3557.7368421052633,36,14,31,50
44,-41.18624999999727,2406.1111111111113,20,11,24,31
45,-35.112249999998404,2147.0588235294117,13,11,17,24
46,-26.918249999999016,2193.764705882353,41,17,24,58
47,-32.669999999996826,2907.0,32,6,31,38
48,-23.804499999997386,2474.0555555555557,32,9,20,41
49,-39.54049999999732,2863.777777777778,26,10,25,36
50,-34.886749999997654,3179.85,21,19,13,40
51,-22.12549999999954,2211.222222222222,21,9,25,30
52,-27.013249999999573,2028.7222222222222,24,9,22,33
53,-28.530499999997602,3663.9,35,16,12,51
54,-29.63199999999781,1929.5882352941176,24,7,20,31
55,-31.969999999999185,2421.1666666666665,22,10,28,32
56,-34.582499999998234,3087.3684210526317,33,11,34,44
57,-29.062499999998447,1635.375,12,9,15,21
58,-24.435499999998946,2441.4444444444443,26,16,21,42
59,-27.963249999996787,2692.722222222222,19,9,37,28
60,-39.935749999994734,2217.1176470588234,39,17,30,56
61,-36.42349999999816,3295.7,22,22,14,44
62,-27.932749999997903,2467.0,26,10,14,36
63,-22.979749999999406,2017.2941176470588,40,16,23,56
64,-22.907749999998074,1429.0,16,12,16,28
65,-33.967999999998014,2818.8888888888887,23,13,27,36
66,-31.593999999996544,3493.4210526315787,37,12,21,49
67,-20.47450000000038,1429.0,8,6,15,14
68,-27.0374999999981,2417.6666666666665,43,5,28,48
69,-13.25574999999687,4015.5,37,14,23,51
70,-16.28099999999835,1732.5294117647059,18,7,18,25
71,-27.05399999999659,3816.684210526316,46,13,19,59
72,-32.96500000000015,2357.6111111111113,30,25,27,55
73,-25.53124999999756,3046.4210526315787,37,13,22,50
74,-29.866999999999468,2140.0,7,14,12,21
75,-30.26649999999798,1644.3125,13,5,21,18
76,-31.13649999999737,3137.5263157894738,17,10,32,27
77,-30.608999999995454,3552.5555555555557,53,15,28,68
78,-40.67599999999853,2377.8333333333335,35,18,12,53
79,-16.19699999999825,3634.5789473684213,53,17,28,70
80,-21.50424999999898,1855.764705882353,32,8,22,40
81,-11.192749999998188,3505.1052631578946,40,8,32,48
82,-53.27624999999612,3294.5789473684213,23,9,39,32
83,-40.286249999997544,1671.125,21,11,20,32
84,-49.15774999999763,3739.0,37,18,37,55
85,-26.20149999999911,2613.15,14,8,15,22
86,-52.889999999996974,3521.6666666666665,37,19,31,56
87,-22.150249999999318,2202.235294117647,37,9,32,46
88,-33.57724999999887,2403.2105263157896,22,11,16,33
89,-24.09999999999723,1724.6875,24,11,23,35
90,-24.90149999999837,2276.5,31,13,11,44
91,-49.06999999999694,2258.9444444444443,34,9,46,43
92,-9.219999999998954,2492.5555555555557,31,9,14,40
93,-28.14224999999608,1662.1875,37,13,15,50
94,-25.007249999997743,2435.277777777778,28,2,21,30
95,-20.18674999999802,3089.842105263158,34,7,21,41
96,-35.770499999997796,2559.8823529411766,44,5,33,49
97,-18.61225000000014,1429.0,3,7,10,10
98,-16.361249999998087,2869.6,13,6,18,19
99,-31.079499999999037,2306.5,16,8,28,24
100,-28.021499999998372,2673.7894736842104,14,13,18,27
101,-37.458249999998664,2808.5,14,21,13,35
102,-34.119249999999155,2523.4444444444443,14,22,14,36
103,-27.75349999999952,2685.6315789473683,20,4,37,24
104,-30.95649999999705,1623.235294117647,15,13,21,28
105,-19.28074999999875,2306.5,19,5,20,24
106,-14.835000000000111,1761.4705882352941,26,8,20,34
107,-31.958249999997083,3432.25,23,11,23,34
108,-55.66774999999859,3167.5789473684213,29,13,41,42
109,-33.8082499999984,1514.375,9,21,16,30
110,-32.171249999998444,2851.3,19,14,19,33
111,-25.95874999999928,1476.6666666666667,38,16,25,54
112,-38.39849999999766,3107.1666666666665,28,16,31,44
113,-29.377499999997337,2758.9444444444443,36,4,35,40
114,-30.937750000000346,1429.0,26,11,13,37
115,-46.18974999999813,3373.5555555555557,35,29,21,64
116,-28.448000000000285,1955.8125,37,21,40,58
117,-41.862499999999955,2050.9411764705883,25,23,21,48
118,-61.65099999999853,3170.0,30,10,38,40
119,-26.300249999998414,1532.1875,24,13,21,37
120,-46.29274999999866,2513.1176470588234,32,14,19,46
121,-43.84374999999669,3606.2105263157896,36,14,29,50
122,-43.970749999996336,1898.3125,20,8,32,28
