Episode,Average Reward,Average Lifespan,True Location Count,False Location Count,Explore Actions,Target Actions
1,-28.023249999998665,1974.75,18,6,34,24
2,-34.588249999999356,2106.684210526316,7,9,29,16
3,-39.05424999999969,1809.0,14,5,35,19
4,-46.79549999999937,2782.6666666666665,15,16,24,31
5,-37.31599999999983,2703.9473684210525,19,7,32,26
6,-50.63074999999991,1871.5,12,8,27,20
7,-53.76649999999963,1429.0,9,12,32,21
8,-18.196999999998813,3608.1666666666665,40,9,39,49
9,-39.654499999999544,3012.2105263157896,14,7,23,21
10,-19.03024999999876,2509.277777777778,20,4,27,24
11,-43.74049999999951,2005.1764705882354,9,10,37,19
12,-20.772499999999635,2274.777777777778,22,7,36,29
13,-51.20349999999961,2612.4,12,10,23,22
14,-53.291249999999806,3058.157894736842,20,17,24,37
15,-51.883499999999415,1429.0,5,10,23,15
16,-38.137000000000896,1634.375,27,4,41,31
17,-31.304499999999557,2994.277777777778,27,17,35,44
18,-36.895999999999255,3365.5789473684213,21,8,30,29
19,-35.101499999999284,2778.277777777778,16,8,30,24
20,-35.63749999999903,2320.764705882353,14,5,35,19
21,-33.681999999999135,2444.1111111111113,26,11,26,37
22,-27.014499999999508,3279.5263157894738,15,13,33,28
23,-44.83049999999898,3410.684210526316,23,4,46,27
24,-39.06649999999975,1629.2222222222222,4,12,22,16
25,-40.58624999999991,1603.625,18,8,25,26
26,-26.62124999999976,2815.5882352941176,22,20,24,42
27,-51.85624999999991,1666.1875,16,6,37,22
28,-33.559499999999474,2581.0526315789475,6,8,33,14
29,-31.40450000000007,1576.875,23,10,42,33
30,-46.007249999999274,2883.0,12,8,29,20
31,-34.71999999999929,1653.3125,12,0,34,12
32,-49.342000000000034,2266.8947368421054,4,5,35,9
33,-46.72274999999958,1820.2941176470588,8,13,23,21
34,-42.181249999998855,3351.35,16,5,36,21
35,-43.00399999999963,3335.4736842105262,13,8,30,21
36,-23.931749999999337,3185.157894736842,22,1,33,23
37,-37.329000000000086,2298.5555555555557,17,9,25,26
38,-42.31349999999945,1855.625,21,9,22,30
39,-38.35999999999931,1684.0,10,10,26,20
40,-38.090999999999184,2330.1666666666665,20,11,24,31
41,-42.98824999999974,2279.1666666666665,14,8,36,22
42,-51.06574999999947,1505.4375,6,8,35,14
43,-34.88774999999958,1621.5,22,3,33,25
44,-43.64199999999933,4284.6,18,14,31,32
45,-31.484999999999502,2533.4736842105262,12,6,27,18
46,-34.01299999999957,2609.8333333333335,11,14,23,25
47,-51.797000000000104,2008.8823529411766,13,12,31,25
48,-36.70649999999894,2694.15,18,2,31,20
49,-34.2539999999998,1755.4375,15,7,29,22
50,-40.05049999999981,1904.2941176470588,10,2,37,12
51,-56.352249999999216,2207.722222222222,10,11,37,21
52,-33.70224999999865,3744.2,19,15,33,34
53,-40.35299999999936,3510.1,20,7,33,27
54,-25.966249999997537,1706.875,25,5,37,30
55,-24.146749999999685,2733.157894736842,26,16,19,42
56,-40.78199999999837,2601.823529411765,24,10,43,34
57,-39.24899999999991,1518.3125,11,13,28,24
58,-27.068999999999612,1840.75,19,6,25,25
59,-23.722499999999084,1791.125,17,11,26,28
60,-42.90399999999867,3713.25,25,20,24,45
61,-54.66149999999983,2219.1666666666665,7,10,28,17
62,-34.75649999999903,3655.25,14,13,29,27
63,-42.28824999999785,2725.3333333333335,25,9,45,34
64,-22.080499999998327,3022.2631578947367,14,10,41,24
65,-37.61299999999853,2392.2631578947367,11,6,40,17
66,-11.567249999998754,2832.0555555555557,21,11,34,32
67,0.0887500000000534,2084.277777777778,23,13,30,36
68,-32.51799999999839,3956.85,30,9,26,39
69,-38.70099999999913,3933.0,21,16,34,37
70,-34.54724999999827,2610.777777777778,22,12,34,34
71,-24.509500000000493,1899.6470588235295,23,10,36,33
72,-55.38274999999989,2549.3684210526317,14,14,37,28
73,-38.63599999999779,4452.1,33,8,39,41
74,-36.11149999999846,4268.8,26,13,35,39
75,-31.175749999999578,2241.9473684210525,5,7,33,12
76,-23.601749999999583,2516.0,11,10,41,21
77,-47.574999999999136,2446.5789473684213,8,10,25,18
78,-10.222499999998977,2616.625,36,8,36,44
79,-37.2260000000003,2095.722222222222,21,9,24,30
80,-31.937999999998738,1626.4375,23,5,32,28
81,-44.443999999999676,1997.157894736842,6,15,19,21
82,-13.174499999999771,2106.0,25,8,26,33
83,-38.46149999999989,2121.3333333333335,11,11,29,22
84,-29.943999999998844,2670.5263157894738,20,4,28,24
85,-42.92374999999983,3258.684210526316,15,8,29,23
86,-51.94199999999883,2646.315789473684,6,6,47,12
87,-38.89849999999922,2517.95,7,6,31,13
88,-23.482499999998858,2652.1052631578946,19,9,31,28
89,-31.945750000000125,3082.5555555555557,18,9,35,27
90,-39.257749999999646,3313.0,28,12,39,40
91,-45.981000000000094,1655.7222222222222,8,6,32,14
92,-35.750999999998854,3159.3684210526317,16,12,31,28
93,-49.7507499999994,2145.842105263158,5,8,31,13
94,-45.460499999999755,2041.1875,32,13,31,45
95,-28.72674999999951,2341.6666666666665,18,8,26,26
96,-40.2857499999997,1608.625,9,5,25,14
97,-10.799749999999511,3282.529411764706,37,7,36,44
98,-28.007999999999377,2789.157894736842,16,17,23,33
99,-32.79000000000015,3627.9473684210525,24,17,23,41
100,-42.28124999999977,2937.8888888888887,36,14,43,50
101,-28.621249999998504,2057.4117647058824,33,10,38,43
102,-41.33049999999999,1901.6666666666667,14,12,32,26
103,-21.528499999998743,1662.1875,21,7,29,28
104,-42.45999999999968,2478.4210526315787,16,5,37,21
105,-39.39625000000064,2143.3888888888887,28,12,29,40
106,-35.056999999999036,4354.8421052631575,27,14,30,41
107,-25.154249999999607,2794.2105263157896,20,2,34,22
108,-22.75699999999889,3471.2,24,11,22,35
109,-22.597999999999214,2143.3125,20,11,31,31
110,-31.07400000000038,1769.8823529411766,19,6,35,25
111,-42.600500000000075,2500.5555555555557,21,10,28,31
112,-20.57449999999945,3246.157894736842,17,8,29,25
113,-41.916499999998344,3157.5263157894738,21,16,29,37
114,-43.986749999999944,1429.0,2,6,21,8
115,-25.960499999999417,2706.3529411764707,23,11,35,34
116,-14.487749999998945,2380.4375,38,11,27,49
117,-42.96299999999939,2428.1176470588234,19,15,32,34
118,-31.809999999999054,2298.6111111111113,19,11,30,30
119,-33.701499999999,1800.125,23,6,43,29
120,-37.88274999999951,3196.842105263158,19,11,24,30
121,-27.579999999999906,2352.277777777778,28,8,30,36
122,-17.656499999998566,3196.8947368421054,28,6,29,34
123,-31.618249999999854,1727.8235294117646,21,4,38,25
124,-28.983999999999888,2816.7368421052633,25,5,34,30
125,-52.71299999999978,2858.5263157894738,15,12,27,27
126,-35.47174999999967,1621.5,16,4,28,20
127,-40.17249999999928,2116.0555555555557,11,13,29,24
128,-31.452999999999044,2701.3684210526317,19,10,17,29
129,-23.112000000000155,3200.2105263157896,37,12,35,49
130,-47.383749999998884,1889.388888888889,9,4,39,13
131,-22.675999999997945,2171.1875,36,5,27,41
