Total Sugar Patches,Consumed Sugar,Remaining Sugar,Number of Ants,Dead Ants,Average Lifespan,True Positives,False Positives,Exploits,Explores
900,864,36,3,17,1800.3,30,72,128,138
1100,882,218,3,17,1757.4,24,66,124,149
1000,921,79,3,17,1585.95,40,61,131,152
1000,898,102,3,17,1735.95,38,59,120,152
1000,646,354,3,17,2400.3,24,55,91,107
1000,827,173,3,17,1543.05,39,51,108,136
1000,955,45,3,17,1950.3,34,83,142,142
900,893,7,3,17,1521.6,32,70,123,156
1000,795,205,3,17,1693.05,25,82,126,114
1000,867,133,3,17,1371.6,30,53,106,159
1000,970,30,3,17,2078.85,28,80,132,163
1000,780,220,3,17,1328.85,32,53,113,124
900,812,88,2,18,985.9,42,65,126,134
1100,886,214,3,17,1757.4,28,70,119,140
1100,1003,97,3,17,1800.3,30,81,135,167
1100,842,258,3,17,1928.85,25,57,97,143
900,760,140,3,17,1843.05,27,73,116,116
1000,950,50,3,17,1864.5,33,63,123,161
1000,782,218,3,17,1993.05,28,72,113,121
1100,913,187,3,17,1885.95,32,83,130,146
1000,873,127,2,18,1314.4,55,39,122,145
1000,832,168,3,17,1543.05,23,65,110,141
1000,932,68,3,17,2335.95,33,59,111,147
900,786,114,3,17,1757.4,29,60,105,127
900,806,94,2,18,1028.7,28,61,110,137
800,710,90,2,18,900.2,28,55,103,120
1000,916,84,3,17,1607.4,24,76,124,144
1000,964,36,3,17,2057.4,42,71,139,152
900,815,85,3,17,1628.85,32,57,116,126
1200,1112,88,3,17,2250.3,33,88,141,167
1000,745,255,3,17,2893.05,31,59,103,117
1100,930,170,3,17,1628.85,30,83,130,140
1000,999,1,3,17,1821.6,26,68,124,168
1000,971,29,3,17,1778.85,38,70,132,165
900,817,83,3,17,1950.3,45,62,134,113
1000,880,120,3,17,2057.4,33,67,116,139
900,866,34,3,17,1971.6,31,78,128,127
1100,903,197,3,17,1607.4,43,70,144,123
1000,992,8,3,17,1928.85,36,76,141,151
1000,918,82,2,18,1057.3,31,52,107,166
1000,956,44,3,17,2121.6,27,77,120,158
1000,903,97,1,19,642.95,26,69,107,161
1000,877,123,3,17,1607.4,32,75,129,136
1100,969,131,1,19,664.35,30,68,123,157
1000,833,167,3,17,1714.5,26,72,117,130
900,896,4,3,17,1735.95,36,62,129,148
900,724,176,3,17,1350.3,29,63,113,114
900,854,46,3,17,1671.6,36,73,130,119
1000,942,58,3,17,2228.85,24,94,136,150
900,891,9,1,19,550.1,38,60,122,149
900,706,194,3,17,1393.05,21,54,94,128
1100,821,279,3,17,1778.85,28,54,103,146
1100,1022,78,1,19,785.8,42,88,148,164
1000,708,292,3,17,1285.95,33,43,101,112
1100,1020,80,3,17,2335.95,24,86,132,165
1100,925,175,3,17,2035.95,31,76,127,147
800,701,99,3,17,1200.3,30,55,106,122
1000,941,59,2,18,985.9,33,70,139,148
1000,838,162,3,17,1607.4,31,61,118,139
1000,941,59,3,17,1671.6,44,70,134,150
1000,937,63,3,17,1521.6,39,80,142,143
1000,891,109,3,17,1757.4,48,68,136,141
1000,822,178,3,17,1843.05,18,73,105,131
1000,912,88,3,17,1843.05,34,67,126,149
1100,924,176,2,18,1285.9,30,75,125,158
800,545,255,3,17,1264.5,15,51,82,98
1000,786,214,3,17,2400.3,26,51,98,139
900,686,214,3,17,1285.95,31,45,100,107
1100,972,128,3,17,2443.05,34,70,131,150
900,847,53,2,18,1071.6,17,86,120,147
1000,692,308,3,17,1650.3,19,74,105,115
1000,861,139,3,17,1564.5,29,55,112,149
900,812,88,3,17,1650.3,25,65,113,138
900,547,353,3,17,1028.85,29,39,90,88
1100,935,165,3,17,2764.5,26,70,122,155
1000,748,252,3,17,1628.85,27,64,112,114
900,853,47,2,18,1157.3,31,59,114,148
1000,851,149,3,17,1757.4,23,70,110,147
1000,720,280,3,17,1628.85,16,77,105,124
900,817,83,3,17,1478.85,21,69,111,142
900,879,21,3,17,1993.05,34,57,111,155
1000,950,50,3,17,1843.05,25,99,152,139
1000,822,178,3,17,1521.6,35,49,111,133
1200,1033,167,3,17,2035.95,30,79,135,172
1100,912,188,3,17,1650.3,28,82,131,146
900,734,166,3,17,1457.4,21,70,101,125
1100,958,142,3,17,1778.85,31,76,124,152
1000,698,302,3,17,1478.85,37,62,116,107
900,791,109,3,17,1628.85,38,63,112,128
900,897,3,3,17,2078.85,38,63,130,147
900,802,98,3,17,1435.95,26,62,112,133
900,769,131,3,17,1285.95,31,56,110,122
1000,922,78,3,17,1864.5,31,70,128,152
1000,972,28,3,17,1757.4,46,66,137,151
900,806,94,1,19,450.1,32,62,120,137
900,850,50,3,17,1650.3,30,63,119,142
900,819,81,3,17,1628.85,38,48,117,131
1100,976,124,3,17,1650.3,33,67,123,162
1100,939,161,3,17,1907.4,26,70,120,147
900,896,4,2,18,971.6,42,66,138,133
