Total Sugar Patches,Consumed Sugar,Remaining Sugar,Number of Ants,Dead Ants,Average Lifespan,True Positives,False Positives,Exploits,Explores
1000,877,123,3,17,1585.95,34,38,99,155
1000,837,163,3,17,1714.5,34,37,83,157
1000,761,239,3,17,1585.95,20,54,93,150
1100,983,117,3,17,2250.3,37,39,100,180
1100,995,105,2,18,1200.2,34,43,117,176
1100,936,164,3,17,1778.85,40,26,101,169
900,732,168,3,17,1414.5,19,44,80,138
1100,910,190,3,17,2057.4,44,37,107,161
1100,935,165,2,18,1057.3,43,47,114,159
1200,1090,110,3,17,2700.3,35,61,122,178
1200,1128,72,3,17,2293.05,38,43,120,200
1100,970,130,3,17,2764.5,16,55,97,165
1200,1018,182,3,17,3150.3,51,10,99,175
1200,988,212,3,17,2100.3,47,34,113,170
1100,904,196,3,17,1800.3,44,43,107,161
1000,873,127,3,17,1543.05,33,50,116,149
1100,653,447,3,17,1800.3,24,26,67,128
1000,950,50,3,17,1671.6,34,58,121,169
1100,752,348,3,17,1735.95,34,42,99,124
1200,1044,156,3,17,2978.85,30,61,110,185
1000,832,168,3,17,2078.85,26,50,100,152
1200,985,215,3,17,2143.05,43,42,127,158
1200,1114,86,3,17,2014.5,39,46,120,199
1000,865,135,3,17,2078.85,27,63,115,138
1200,1061,139,3,17,2314.5,43,40,107,195
1100,901,199,3,17,1950.3,34,57,111,159
900,816,84,1,19,464.35,33,46,114,137
1100,745,355,3,17,1478.85,33,39,92,138
1000,848,152,3,17,1843.05,38,34,101,147
1100,755,345,3,17,1821.6,36,29,89,134
1100,846,254,3,17,2035.95,33,41,93,163
1200,966,234,3,17,2078.85,51,45,122,169
700,578,122,3,17,1007.4,29,44,88,97
900,834,66,2,18,1085.9,32,30,84,162
900,757,143,3,17,1671.6,20,43,84,142
1100,987,113,3,17,1993.05,31,55,123,161
900,813,87,3,17,2185.95,33,50,104,134
1100,997,103,3,17,2357.4,37,40,110,179
1000,913,87,3,17,1757.4,43,44,108,172
900,753,147,3,17,1393.05,23,27,76,147
1000,801,199,3,17,1543.05,18,42,81,159
900,634,266,3,17,1628.85,34,38,94,115
900,869,31,3,17,2207.4,32,66,113,133
900,810,90,3,17,1521.6,17,55,91,149
900,870,30,3,17,1714.5,39,43,101,147
1000,919,81,3,17,1650.3,41,41,107,156
1000,804,196,3,17,1735.95,23,50,90,151
900,871,29,3,17,1714.5,37,47,102,160
1100,952,148,3,17,2121.6,29,48,100,162
900,896,4,2,18,1185.9,27,45,86,185
1100,976,124,3,17,2271.6,31,58,119,154
1000,863,137,3,17,1564.5,30,57,118,138
1100,870,230,3,17,2100.3,45,26,103,133
1100,852,248,3,17,1993.05,35,39,101,154
1000,955,45,3,17,1907.4,33,44,104,192
1000,790,210,3,17,1628.85,30,32,88,147
900,858,42,1,19,585.8,38,51,118,147
900,775,125,2,18,928.7,30,35,89,142
1100,920,180,3,17,2035.95,32,55,106,162
900,774,126,3,17,1543.05,36,11,78,153
1000,849,151,3,17,1735.95,50,33,114,139
1000,847,153,3,17,1628.85,15,60,93,161
900,899,1,1,19,771.5,42,51,112,151
1000,836,164,3,17,1393.05,53,34,116,140
1100,928,172,3,17,2014.5,38,44,115,168
900,789,111,3,17,1757.4,36,39,93,141
900,683,217,3,17,1521.6,42,24,97,109
1100,923,177,3,17,2400.3,33,59,107,159
900,891,9,3,17,1800.3,32,46,106,159
1100,910,190,3,17,2250.3,46,42,116,147
900,762,138,3,17,1478.85,32,38,84,149
1000,829,171,3,17,2164.5,45,40,111,138
1000,865,135,3,17,2057.4,27,46,92,167
900,812,88,2,18,1214.4,27,53,103,154
900,740,160,3,17,1285.95,20,47,88,133
1000,918,82,3,17,1971.6,41,28,101,146
900,824,76,3,17,1585.95,27,57,104,143
1000,981,19,3,17,1885.95,48,27,110,183
1000,837,163,3,17,1864.5,27,41,89,149
1100,1043,57,3,17,2035.95,32,53,116,174
1000,820,180,3,17,1907.4,38,32,94,151
1100,1045,55,3,17,2100.3,43,53,131,178
1000,864,136,3,17,1714.5,38,46,115,145
1100,854,246,3,17,1907.4,47,24,94,155
900,895,5,3,17,1714.5,32,42,96,169
1100,966,134,2,18,1171.6,18,53,99,175
1100,839,261,2,18,1214.4,32,44,102,152
900,869,31,3,17,1885.95,39,27,100,160
1000,936,64,3,17,2228.85,33,64,117,146
1100,829,271,3,17,1993.05,27,45,84,155
900,819,81,2,18,1057.3,29,36,96,149
900,716,184,3,17,1435.95,29,43,87,136
800,748,52,3,17,1414.5,28,47,100,130
1000,893,107,3,17,1993.05,25,68,121,147
1100,817,283,3,17,1650.3,26,46,98,145
1100,891,209,3,17,1457.4,20,55,105,159
1000,907,93,3,17,2143.05,41,42,113,140
900,772,128,3,17,1778.85,31,38,92,145
1000,966,34,3,17,2014.5,45,55,129,152
1100,989,111,3,17,2721.6,31,62,114,166
